uce,ominor,obimaculoides,lpealeii,ovulgaris,pcanaliculata
uce-28420,.,.,.,.,.
uce-8921,1,1,1,1,.
uce-38342,.,.,1,.,1
uce-38341,.,.,.,.,.
uce-38340,.,.,.,.,.
uce-14672,1,1,1,1,.
uce-38699,1,1,1,1,1
uce-23808,1,1,1,1,.
uce-23202,1,1,1,1,.
uce-19749,1,1,1,1,.
uce-23800,1,1,1,1,1
uce-7874,1,1,1,1,.
uce-4773,.,1,.,1,1
uce-38971,1,1,1,1,.
uce-9255,1,1,1,1,.
uce-3556,1,1,1,1,.
uce-21240,1,1,1,1,1
uce-21241,1,1,1,1,.
uce-265,1,1,1,1,.
uce-264,1,1,1,1,.
uce-22997,1,1,1,1,.
uce-15262,1,1,1,1,.
uce-13348,1,1,1,1,.
uce-18222,.,1,1,1,.
uce-36769,1,1,.,1,1
uce-3067,1,1,1,1,1
uce-19884,.,1,1,1,1
uce-30283,1,1,1,1,.
uce-1694,1,1,1,1,1
uce-1696,1,1,1,1,1
uce-29268,.,1,1,1,1
uce-38526,.,1,1,1,1
uce-28545,1,1,.,1,1
uce-8819,1,1,1,1,.
uce-33548,1,1,1,1,.
uce-32504,1,1,1,1,1
uce-6132,1,1,1,1,.
uce-8810,1,1,1,1,.
uce-36565,1,1,1,1,1
uce-1501,1,1,1,1,1
uce-8817,1,1,.,1,.
uce-35058,1,1,1,1,.
uce-34690,.,1,1,1,1
uce-18139,1,1,1,1,.
uce-35055,1,1,1,1,1
uce-14106,1,1,1,1,.
uce-31024,.,.,1,.,.
uce-34507,1,1,1,1,1
uce-34506,1,1,1,1,.
uce-1562,1,1,1,1,1
uce-1328,1,1,1,1,.
uce-34052,1,1,1,1,1
uce-28007,1,1,1,1,1
uce-6414,1,1,1,1,1
uce-17137,1,1,1,1,1
uce-30212,1,1,1,1,.
uce-17130,1,1,1,1,1
uce-30219,1,1,1,1,1
uce-16446,1,1,1,1,.
uce-24268,.,1,1,1,1
uce-33881,.,1,1,1,1
uce-16688,1,1,1,1,.
uce-33884,1,1,1,1,.
uce-34185,1,1,1,1,1
uce-38236,.,.,.,.,.
uce-38235,.,.,.,.,.
uce-38234,.,.,1,.,.
uce-34180,.,1,1,1,1
uce-38231,.,1,1,1,1
uce-38230,.,1,1,1,1
uce-15187,1,1,1,1,1
uce-15180,.,1,1,1,1
uce-15182,.,.,1,.,.
uce-15183,.,.,1,.,.
uce-849,1,1,1,1,1
